species_no,month,sunrise,dewpoint,wetbulb,trap_T900,tmin,tavg,cool,station,depart,sunset,tmax,heat,resultspeed,long_lat,year,avgspeed,trap_T003,trap_T086,trap_T225,trap_T143,trap_T115,trap_T002,trap_T223,trap_T046,trap_T006,trap_T233,trap_T013,trap_T235,trap_T017,trap_T014,trap_T230,trap_T148,trap_T200,trap_T018,trap_T043,trap_T103,trap_T015,trap_T096
2.0,5,421,58,65.0,0,60,74,9,1,10,1917,88,0,5.8,-3683.66335909779,2007,6.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,5,421,58,65.0,0,60,74,9,1,10,1917,88,0,5.8,-3683.66335909779,2007,6.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,5,421,58,65.0,0,60,74,9,1,10,1917,88,0,5.8,-3685.870081681489,2007,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,5,421,58,65.0,0,60,74,9,1,10,1917,88,0,5.8,-3686.3664752962677,2007,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,5,421,58,65.0,0,60,74,9,1,10,1917,88,0,5.8,-3686.3664752962677,2007,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,5,421,59,66.0,0,65,77,12,2,10,1917,88,0,5.8,-3675.1180599279996,2007,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,5,421,59,66.0,0,65,77,12,2,10,1917,88,0,5.8,-3671.9446257109375,2007,7.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,5,421,59,66.0,0,65,77,12,2,10,1917,88,0,5.8,-3669.828862864192,2007,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,5,421,59,66.0,0,65,77,12,2,10,1917,88,0,5.8,-3669.828862864192,2007,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,5,421,59,66.0,0,65,77,12,2,10,1917,88,0,5.8,-3672.428318647424,2007,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,5,421,59,66.0,0,65,77,12,2,10,1917,88,0,5.8,-3676.0857221518368,2007,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,5,421,59,66.0,0,65,77,12,2,10,1917,88,0,5.8,-3673.7092002470254,2007,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,5,421,59,66.0,0,65,77,12,2,10,1917,88,0,5.8,-3673.7092002470254,2007,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
