Date,day,month,year,Trap,Latitude,Longitude,WnvPresent,Species,species_no,Block,NumMosquitos,Station
2007-05-29,29,5,2007,T002,41.95469,-87.800991,0,CULEX PIPIENS/RESTUANS,2.0,41,1,1
2007-05-29,29,5,2007,T002,41.95469,-87.800991,0,CULEX RESTUANS,1.0,41,1,1
2007-05-29,29,5,2007,T007,41.994991,-87.769279,0,CULEX RESTUANS,1.0,62,1,1
2007-05-29,29,5,2007,T015,41.974089,-87.824812,0,CULEX PIPIENS/RESTUANS,2.0,79,1,1
2007-05-29,29,5,2007,T015,41.974089,-87.824812,0,CULEX RESTUANS,1.0,79,4,1
2007-05-29,29,5,2007,T045,41.9216,-87.666455,0,CULEX RESTUANS,1.0,15,2,2
2007-05-29,29,5,2007,T046,41.891118,-87.654491,0,CULEX RESTUANS,1.0,25,1,2
2007-05-29,29,5,2007,T048,41.867108,-87.654224,0,CULEX PIPIENS/RESTUANS,2.0,11,1,2
2007-05-29,29,5,2007,T048,41.867108,-87.654224,0,CULEX RESTUANS,1.0,11,2,2
2007-05-29,29,5,2007,T049,41.896282,-87.655232,0,CULEX RESTUANS,1.0,11,1,2
2007-05-29,29,5,2007,T050,41.919343,-87.694259,0,CULEX PIPIENS/RESTUANS,2.0,21,1,2
2007-05-29,29,5,2007,T054,41.921965,-87.632085,0,CULEX PIPIENS/RESTUANS,2.0,22,2,2
2007-05-29,29,5,2007,T054,41.921965,-87.632085,0,CULEX RESTUANS,1.0,22,3,2
2007-05-29,29,5,2007,T086,41.688324,-87.676709,0,CULEX PIPIENS/RESTUANS,2.0,22,1,2
2007-05-29,29,5,2007,T086,41.688324,-87.676709,0,CULEX RESTUANS,1.0,22,1,2
2007-05-29,29,5,2007,T091,41.862292,-87.64886,0,CULEX RESTUANS,1.0,11,1,2
2007-05-29,29,5,2007,T094,41.720848,-87.666014,0,CULEX RESTUANS,1.0,17,3,2
2007-05-29,29,5,2007,T096,41.731922,-87.677512,0,CULEX PIPIENS,2.0,22,1,2
2007-05-29,29,5,2007,T096,41.731922,-87.677512,0,CULEX RESTUANS,1.0,22,5,2
2007-05-29,29,5,2007,T129,41.891126,-87.61156,0,CULEX PIPIENS/RESTUANS,2.0,53,1,2
2007-05-29,29,5,2007,T129,41.891126,-87.61156,0,CULEX RESTUANS,1.0,53,2,2
2007-05-29,29,5,2007,T143,41.999129,-87.795585,0,CULEX PIPIENS/RESTUANS,2.0,65,1,1
2007-05-29,29,5,2007,T148,42.01743,-87.687769,0,CULEX PIPIENS/RESTUANS,2.0,75,1,1
2007-05-29,29,5,2007,T153,41.907645,-87.760886,0,CULEX RESTUANS,1.0,15,1,2
2007-05-29,29,5,2007,T159,41.732984,-87.649642,0,CULEX RESTUANS,1.0,89,1,2
2007-06-05,5,6,2007,T002,41.95469,-87.800991,0,CULEX PIPIENS,2.0,41,1,1
2007-06-05,5,6,2007,T002,41.95469,-87.800991,0,CULEX PIPIENS/RESTUANS,2.0,41,3,1
2007-06-05,5,6,2007,T002,41.95469,-87.800991,0,CULEX RESTUANS,1.0,41,5,1
2007-06-05,5,6,2007,T009,41.981964,-87.812827,0,CULEX RESTUANS,1.0,91,2,1
2007-06-05,5,6,2007,T011,41.944869,-87.832763,0,CULEX RESTUANS,1.0,36,1,1
2007-06-05,5,6,2007,T015,41.974089,-87.824812,0,CULEX PIPIENS/RESTUANS,2.0,79,1,1
2007-06-05,5,6,2007,T015,41.974089,-87.824812,0,CULEX RESTUANS,1.0,79,2,1
2007-06-05,5,6,2007,T016,42.011601,-87.811506,0,CULEX RESTUANS,1.0,72,1,1
